Artist Name,Artist Major,Project Title,Project Date,Project Genre,Project Description,Project Link,All Fields Filled,Date Validation,Link Validation,,Base URL,Last Update To Sheet
Carissa Tinoco,Molecular environmental biology,Psyche Mission Brochure,2019-04-10,Digital art,"For my third piece, I created a trifold brochure meant to be printed and physically handed out to people at outreach events (such as the Psyche Inspired showcase exhibit) who would like to learn more about the Psyche mission. As a tool for outreach, it is a summarized, compact, colorful, and accessible version of the information that is on the Psyche mission’s website.",https://psyche.ssl.berkeley.edu/gallery/psyche-mission-brochure/,,,,,,
Ben Conway,Illustration,Psyche Tortoise and Hare,2019-03-08,3D rendering,"This image depicts two different types of spacecraft propulsion, through the metaphorical lens of the fable of the Tortoise and the Hare.

In that story, told by the ancient Greek storyteller Aesop, the Hare challenges the Tortoise to a race. The Hare’s victory initially seems certain due to its ability to run at high speed. But as the race progresses, the Hare becomes tired and stops to rest.

The Tortoise, meanwhile, continues on at low speed. But the Tortoise has an advantage: the Tortoise doesn’t get tired, and manages to overtake the sleeping, stationary Hare.

This is one way to think of the different types of propulsion systems that spacecraft can use. Chemical rockets resemble the Hare: while they can produce massive amounts of thrust, they also are limited in how much fuel they can carry and thus run out of fuel more quickly. A solar-electric propulsion system resembles the Tortoise: while it doesn’t accelerate quickly, it can maintain its tiny acceleration for a long period of time without running out of fuel.

You can see how the Psyche spacecraft’s Hall thrusters work by looking at the Tortoise image closely. In the image, electrons are represented by yellow dots. Neutral xenon atoms are represented by blue dots with yellow dots circling them, and xenon ions are represented by blue dots alone. Find out how those particles move the spacecraft by reading the Spacecraft Chief Engineer Dan Goebel’s blog posts Psyche is an SEP Mission and How do the Electronic Thrusters on Psyche Spacecraft Work.

Solar panel representation based on information from NASA’s How do Photovoltaics Work? and further data from NASA Ion Propulsion.",https://psyche.ssl.berkeley.edu/gallery/psyche-tortoise-and-hare/,,,,,,
Olivia Ferrel,Public service & public policy,Parts and Pieces,2019-04-05,Wood and woodburning,"These three woodburnings depict the asteroid, the spacecraft, and the names of the Psyche Inspired Iron Class interns. The woodburning was inspired by fellow intern Dagan Sassarini’s “Photosynthesis” project. This is a new medium for me, but I felt that it would push me artistically and help me to explore the relationship between nature and technology.",https://psyche.ssl.berkeley.edu/gallery/parts-and-pieces/,,,,,,
Anna Vanderberg,Art & design,Interview with Psyche: Part 2,2019-04-03,Stop-motion animation,"This animation, which is a follow-up to my second project, features the Psyche spacecraft once more answering questions. I wanted to make sure that these pieces can stand alone without outside explanation, so I made this animation cover more general aspects of the mission than my last one did. I like the idea of being able to approach a spacecraft and level with it about what it’s doing, so for this one I skipped the middleman and had imaginary TV viewers ask Psyche their questions. I had a lot of fun with it, and I hope my viewers do, too!",https://psyche.ssl.berkeley.edu/gallery/interview-with-psyche-part-2/,,,,,,
Jessika Raisor,Animation,An Asteroid Named Psyche: Animated Typography,2019-04-01,Adobe After Effects,"I created this animated video after hearing fellow intern, Ryan Powell’s, children song. The song personifies the Psyche asteroid and for me that was a lot of fun to play with in terms of animation. I created the digital work to look like paper cut-out stop motion because it is simple and easy to follow, especially with the text on screen making the video more of a sing-a-long. And because the song tells an imagined story, having a simplified and cartoony style made sure there wasn’t any confusion if this was a factual representation (since we don’t know what Psyche looks like yet!).",https://psyche.ssl.berkeley.edu/gallery/an-asteroid-named-psyche-animated-typography/,,,,,,
Brenton Chase,Forensic psychology,Levitating Psyche,2019-03-29,Sculpture,"I used to have a levitating globe, and I remembered how much fun I had playing with it, so I decided to make the same thing featuring (16) Psyche.",https://psyche.ssl.berkeley.edu/gallery/levitating-psyche/,,,,,,
Miguel Montañez,Interdisciplinary studies,Psyche Patch,2019-03-27,Embroidery,A hand embroidered patch for the Psyche Mission in the style of older NASA mission patches.,https://psyche.ssl.berkeley.edu/gallery/psyche-patch/,,,,,,
Chloe Carriere,Chemical engineering,"
Lindy in the Sky with Diamonds",2019-03-25,Acrylic and Gouache paint on Canvas,"Dr. Lindy Elkins-Tanton is a planetary scientist and professor with expertise in planet formation and evolution. She is the face of the NASA Psyche mission, not only because she is the Principal Investigator, but also because her leadership and perseverance are what will propel this mission to success. The mission is looking to provide a deeper look into space and ultimately give us a better understanding of the Universe. I wanted to give the illusion that Lindy is another constellation in the galaxy. I have also included Lindy’s astrological sign of Virgo as a tongue-in-cheek nod to another belief system (astrology), which has been rejected by the scientific community as having no explanatory power for describing the universe.",https://psyche.ssl.berkeley.edu/gallery/lindy-in-the-sky-with-diamonds/,,,,,,
Sophie Hullinger,Art & design,Abstract Orbiter Origins,2019-03-22,Stop-motion animation of aluminum,"This piece is a stop-motion animation using pieces of aluminum. The pieces reveal, unfold, and combine themselves into the bare bones of the Psyche spacecraft’s components. I wanted to make the spacecraft seem so full of life that it creates itself just for the mission.",https://psyche.ssl.berkeley.edu/gallery/abstract-orbiter-origins/,,,,,,
Ryan Powell,Music,Approaching 16 Psyche,2018-03-20,Music – marching band,"I wrote this marching band tune while thinking about the Psyche spacecraft coming up upon the asteroid. I tried to capture the excitement and beauty of the final moments before it enters orbit around the Psyche asteroid. I went pretty heavy on the brass and percussion during the main theme to really keep it driving forward. There are also a lot of little pointillistic elements, particularly with the woodwinds in the beginning, which I had imagined as stars sparkling in the background as the spacecraft travels. Parts were written for full marching band with the hope of it being recorded as well! I really enjoyed creating this piece—I hope you enjoy it, too!",https://psyche.ssl.berkeley.edu/gallery/approaching-16-psyche/,,,,,,
Stacy Woodruff,Public Service & Public Policy,Journey To Psyche,2019-03-19,"sodalite, brass wire","This piece combines brass wire-wrapped embellishments with a more traditional bezel-set sodalite stone. It is inspired by the spacecraft’s journey from Earth to Psyche. The shape and trailing tendrils show the motion of the journey, and the pattern in the sodalite is reminiscent of deep-space images.",https://psyche.ssl.berkeley.edu/gallery/journey-to-psyche/,,,,,,
Anna Vanderberg,Art & design,Interview with Psyche: Part 1,2019-03-12,Stop-motion animation,"For this stop-motion animation, my goal was to create a comical-yet-educational situation in which viewers would get to see a character interact with the Psyche spacecraft. I was inspired to use the format of a talk show from all the shows I’ve seen where a bubbly host has a celebrity guest in ostensibly to simply talk about the guest, but truly to promote their latest work. This format allowed me to get a little silly with inserting a large spacecraft into a role humans typically fill while still sharing real facts about the Psyche spacecraft. It’s my hope that this animation will be accessible to children and adults alike, and that anyone who watches this can have a laugh while learning.",https://psyche.ssl.berkeley.edu/gallery/interview-with-psyche-part-1/,,,,,,
Brenton Chase,Forensic psychology,My Journey to Psyche,2019-03-08,Blog,"This blog post gives an introspective view of my life and what joining the Psyche Inspired team means to me: I describe my early fears and tribulations that led to issues later in my life, and how those issues changed my perspective and caused me to grow, return to college, and eventually join Psyche Inspired.",https://psyche.ssl.berkeley.edu/gallery/my-journey-to-psyche/,,,,,,
Ben Conway,Illustration,Humanity’s Psyche,2019-03-04,3D rendering,The general idea of this piece is to show how all of humanity can create great things together. The rainbows of thoughts flow from people’s minds and join together at the Psyche spacecraft. The arc above the spacecraft forms the symbol of the Psyche asteroid. The impact shown between the figures was inspired by the Psyche blog post about mythology—it represents how our experiences affect the things we create. It also represents how we can move beyond destructiveness and instead work together to make new things.,https://psyche.ssl.berkeley.edu/gallery/humanitys-psyche/,,,,,,
Miguel Montañez,Interdisciplinary studies,"
Late Night",2019-03-01,Animation,"This animated loop shows an engineer staying late to work on the Psyche orbiter. She types on a computer, testing the orbiter and turns to see it respond to her.",https://psyche.ssl.berkeley.edu/gallery/late-night/,,,,,,
Olivia Ferrel,Public service & public policy,Dr. Lindy Elkins-Tanton,2019-02-27,Embroidery and watercolor,"This hoop depicts the mission’s Principal Investigator, Dr. Lindy Elkins-Tanton, on a watercolor interpretation of the Psyche asteroid. I wanted to make this piece as a tribute to Dr. Lindy as thanks for bringing humanity to the mission. Her image is centered on the black and purple background to represent both the heart of the Psyche mission and the potential we have as creators and scientists.",https://psyche.ssl.berkeley.edu/gallery/dr-lindy-elkins-tanton/,,,,,,
Dagan Sassarini,Chemical engineering,Haiku For 16 Asteroids,2019-02-25,Poetry,"The present moment is so powerful that it lends us an opportunity to redefine both our future and our past. Short moments of mindfulness allow us to make the greatest connections, to see things for what they are, and to be innovative in our solutions to problems faced both as individuals in our daily lives and together as humanity. Writing haiku is a practice that enables me to remain mindful during stressful times. Using three levels of functionality outlined by Professor Gail Sher, I have attempted to write sixteen haiku, one for each of the first sixteen asteroids discovered, with Psyche being the last. Each haiku draws upon the history of each asteroid and emphasizes the inherent connection of scientific discoveries with our natural environment.",https://psyche.ssl.berkeley.edu/gallery/haiku-for-16-asteroids/,,,,,,
Angela Wroblewski,Astronomy & Physics,Psyche String Theory,2019-02-22,String Art,"This piece is the Psyche asteroid pictured in string. It is another way for one to depict Psyche. After finishing the piece, I noticed that my piece, a jumbled mess of string, is similar to the jumbled mess of metal that makes up the Psyche asteroid.",https://psyche.ssl.berkeley.edu/gallery/psyche-string-theory/,,,,,,
Ryan Powell,Music,Journey To Psyche – A 3D Experience,2019-02-20,music/sound,"For this piece, I did some experimenting with 3D sound, or binaural sound. This is something that I’ve been interested in for a long time and was able to implement in this piece. I wanted to combine music and the 3D sound aspect to tell a sort of story on the way to the asteroid that uses sound bites from previous NASA missions, showing how far we’ve come leading up to the Psyche mission. In essence, it’s like a film score with 3D sound elements. I had a blast doing it, and I got some help from an actress friend of mine, Katrina Dykstra, who played the little fairy you’ll hear about halfway through. All that said, grab a pair of over-ear headphones, find a quiet room, sit back, close your eyes, and be taken on the journey!",https://psyche.ssl.berkeley.edu/gallery/journey-to-psyche-a-3d-experience/,,,,,,
Carissa Tinoco,Molecular environmental biology,Goddess Psyche,2019-02-18,Digital art,"This piece is my artistic rendering of the Greek goddess of the soul, Psyche, after whom the asteroid being investigated was named. Alluding to the Greek mythology aspect of the mission, I included a gold leaf headband and a gold choker necklace as symbolism for the jewelry that the ancient Greeks sometimes wore. Flying above the woman’s head is the Psyche spacecraft that will be launched in 2022. It is surrounded by a blue glow that matches the color of the woman’s pupil-less eyes (pupil-less since the eyes are the window to the soul!). The spacecraft appears to be melting and is bent in a way to suggest dynamism—this movement, in addition to the woman’s suspended hair, represents the progress we are making toward the mission, as well as the actual action of being launched. Most of the colors I used were from the Psyche mission’s official color palette.",https://psyche.ssl.berkeley.edu/gallery/goddess-psyche/,,,,,,
Stacy Woodruff,Public service & public policy,Take Off,2019-02-15,"Malachite and azurite, stainless steel wire","In this piece, the central stone represents Earth, and the wire wrapping is similar to the Psyche spacecraft’s flight path. The glass beads are reminiscent of Earth’s atmosphere. I chose to use stainless steel for the flight path that will connect Earth and Psyche because we believe that Earth’s core and Psyche are both made primarily of iron and nickel, like stainless steel.",https://psyche.ssl.berkeley.edu/gallery/take-off/,,,,,,
Rachel McNeil,Environmental sustainability management,Psykhe: The Goddess and Asteroid,2019-02-13,Painting/acrylic and marker,"This painting depicts the goddess, Psykhe, for whom the asteroid was named. In this piece, there are hidden images and text that relate to the discovery story of the asteroid. If you look closely at tendrils of hair, accessories, and wings, you’ll find clues that relate to numerous aspects of the Psyche asteroid, such as the scientist who discovered it, what it is believed to be made out of, etc.",https://psyche.ssl.berkeley.edu/gallery/psykhe-the-goddess-and-asteroid/,,,,,,
Sophie Hullinger,Art & design,"Psyche Designs 1, 2, 3",2019-02-11,Digital,"In this project I wanted to create three designs that focus on different aspects of the Psyche mission while using consistent color palettes. When viewed all together, the designs create an abstract narrative of the asteroid and how we are getting to it. Design 1 is an exploration of texture on the surface of (16) Psyche through layering three colored versions of a pen drawing of the asteroid. Design 2 focuses on the four rings of the orbiter’s staging orbits at the asteroid. Design 3 is a simplification of the exterior of the Psyche orbiter.",https://psyche.ssl.berkeley.edu/gallery/psyche-designs-1-2-3/,,,,,,
Addison Rizer,English,Dear Psyche,2019-02-08,Writing(letters),"I think we function in orbits. We circle things all our lives. That’s what these letters to Psyche are about: the way we circle, cycle, to and from the same things. Lily, for example, goes through three phases of an orbit with each set of three letters. The first is isolation. The second is hesitation. The third is association. Engagement. Burrowing into the world instead of, as in the first sections, away from it. Each set of three letters has a repeated line. In the first, it appears early on. In the second, about halfway through. The third features it at the end. These lines change as Lily does. She is dreaming of being lost, then found, and then not dreaming anything at all. A sign of healing, perhaps. It can be easier to talk to things like Psyche instead of other people. Times of struggling. But, as Lily demonstrates, it can’t last forever. Find comfort in things like Psyche, sure. How they parallel your hurt. Your life. Your isolation. But, also, let people in, too. Psyche might have been through a lot, but it can’t talk back. Isolation to hesitation to engagement. You need all three to complete the circle.",https://psyche.ssl.berkeley.edu/gallery/dear-psyche/,,,,,,
Chloe Carriere,Chemical Engineering,Breaking Barriers,2019-02-06,Paint on canvas,"This immense 5×9-ft. piece depicts the Psyche spacecraft breaking down the wall between us and the vast unknown space around our little blue planet. My own passion for knowledge and space exploration comes from the endless mysteries of the universe. I feel that there is a barrier dividing us from the answers to these secrets, but with more technology and motivation for space travel, we can slowly break these barriers. When you take a photo in front of this painting, it looks as though you are the center of the spacecraft. Since we are traveling to a metal asteroid that could provide insight into our own metal core, I want to depict the idea that when you stand in front of the painting, you are the core of the spacecraft. The journey to Psyche is one that anyone can support and get excited about, and by acting as the core of the spacecraft, you are joining our journey to a metal world. Join us in our #JouneytoPsyche.",https://psyche.ssl.berkeley.edu/gallery/breaking-barriers/,,,,,,
Ben Conway,Illustration,Psyche’s Journey,2019-02-01,3D rendering with digitally-painted textures,"This image shows the Psyche spacecraft on its way to the Psyche asteroid, with a partial circle representing the asteroid’s lost outer layers. It is a 3D rendering, with digitally-painted textures and one procedurally-generated texture. The spacecraft was modeled based on the technical diagrams I was provided. I referred to NASA photos for the appearance of Earth and Mars, and the shape of the Psyche asteroid was based on data from the paper “Radar observations and shape model of asteroid 16 Psyche.” The beam of light represents the spacecraft’s laser communications system. There are some subtle details in the background—several silhouettes of the Psyche spacecraft are hidden there, and there are 16 stars that represent the 16 Psyche Inspired interns. The representation of the asteroid’s lost layers resembles a keyhole, signifying the knowledge that this mission will unlock. (Planet reference images: STScI-PRC97-09a; NASA Satellite Camera Provides “EPIC” View of Earth.)",https://psyche.ssl.berkeley.edu/gallery/psyches-journey/,,,,,,
Jessika Raisor,Animation,VR Psyche,2018-12-11,Digital,"I created this VR animation, commonly referred to as a “quillustration”, in Quill. This is one of the newest artistic mediums out in the world and I have started to experiment with it more and more. Because this medium allows people to visit new worlds, what better way to show off the metal world of Psyche? It seemed to be the perfect way to introduce (16) Psyche to the public, and because of the freedom and possibilities of VR, I was able to create the possible interior of Psyche as well through my own artistic interpretation.",https://psyche.ssl.berkeley.edu/gallery/vr-psyche/,,,,,,
Sophie Hullinger,Art and design,Psyche Origins,2018-12-07,Video,"This piece depicts the hypothesis that (16) Psyche is the metallic core of a protoplanet, and by learning about Psyche we can learn more about Earth’s core. It is thought that the protoplanet collided with other material in the early solar system over a long period of time, removing all the rocky layers and exposing the core underneath. For my project, a metallic sheet was cut and bent in the shape of Psyche and suspended from the ceiling. Projected onto the metal Psyche shape is a golden representation of the theoretical protoplanet Psyche and an animation of the process for how they think it became the way it is today. The light projected onto Psyche spins around the room, acting as a beacon to tempt us to explore the asteroid.",https://psyche.ssl.berkeley.edu/gallery/psyche-origins/,,,,,,
Jeremy Seidner,Computer science,Psyche: The Game,2018-12-06,Game Board,"Psyche: The Game was an idea that was born off the back of the Psyche cereal box project. It is a mixed media piece combining the crispness of digital vector lines and text with hand drawn art of the orbs. The color scheme matches the Psyche mission.

Starting at Earth, players pass Earth’s Moon and Mars before arriving at Psyche the asteroid. I wanted to add a lot of actionable squares that not only made the board competitive but also allowed the players to experience the journey as Psyche the probe. I was excited to add a little bit of my computer science background into the piece with a nod to the old blue screen of death. I liked the idea of choosing your own orbital insertion path to add randomness to the game. The asteroids in the belt that both paths pass through were taken from the cereal box project so that the two pieces had a common tie. The stars are all part of a multitude of constellations hiding in the background.",https://psyche.ssl.berkeley.edu/gallery/psyche-the-game/,,,,,,
Miguel Montañez,Interdisciplinary studies,Psyche Wide,2018-12-05,Digital,This piece was made digitally with only halftones (small dots of color) and only uses the Psyche colors!,https://psyche.ssl.berkeley.edu/gallery/psyche-wide/,,,,,,
Anna Vanderberg,Art & design,Journey to the Beginning of Psyche,2018-12-03,Stop-motion animation,"For this animation, I experimented with painting by hand. This means that each frame is an individual painting, each painted one over the next on a single sheet of glass and photographed. Since this piece was more experimental for me, I decided to also make my sound effects more experimental. Rather than timing my animation to music or logical sound effects, I created a soundscape made entirely of the sounds of paintbrushes swishing, mimicking the actions I performed when painting. We begin zoomed outside of our galaxy, and rush through the solar system, past Mars, and into the asteroid belt just in time to see an object strike Psyche, stripping it of its rocky mantle. Psyche is alone and unobserved for a time, until the Psyche spacecraft enters the scene.",https://psyche.ssl.berkeley.edu/gallery/journey-to-the-beginning-of-psyche/,,,,,,
Ryan Powell,Music,An Asteroid Named Psyche,2018-11-06,Composition,"An Asteroid Named Psyche is a children’s song that I wrote, which follows the asteroid’s story. I wanted the song to be both educational and exciting for kids, so I brought the Psyche asteroid to life and created a story that could have a nice little moral while staying on target scientifically. I wanted it to be about ‘purpose’ because I think that’s something that a lot of kids really struggle with – myself included! I aimed for the melody to be catchy, singable, and somewhat repetitive. The vocals and guitar were recorded by my friend Amelia Murray, a New York City based singer-songwriter, who did an amazing job of giving the tune a character. Along with the recording, I created a lead sheet and a lyric sheet, both of which will be shared with various schools for any choirs or classes that would be interested in learning the song and learning about the mission!",https://psyche.ssl.berkeley.edu/gallery/an-asteroid-named-psyche/,,,,,,
Dagan Sassarini,Chemical Engineering,Photosynthesis,2018-11-28,Photography,"Psyche Inspired serves as a reminder that the arts and sciences are not at odds with one another. It reminds us that the incremental acquisition of understanding through observation can be shared and expressed creatively. These are the fundamental concepts that shaped this project, which began with research about the asteroid’s scientific history and about a dozen scientific articles from the second half of the 20th century describing Psyche in terms of photometric analyses. Thus, Photosynthesis is a collection of photographs and scientific articles combined in an attempt to explore similarities between photography and an earlier period of Psyche research. The Psyche mission and the photographs in this project both serve a purpose of acquiring information that may lead to a better understanding and appreciation of our own planet. Trees, which also contain important information in their cores, are the subject of these photographs. Much like the Psyche mission, light brings them to life.",https://psyche.ssl.berkeley.edu/gallery/photosynthesis/,,,,,,
Chloe Carriere,Chemical Engineering,Psyched To Go Home,2018-11-26,Gouache and canvas,"This piece depicts the Psyche orbiter making its way through the asteroid belt towards its new home, Psyche the asteroid. I started the painting with a watercolor outline of the asteroids and the orbiter. Once the outline was complete, I worked on the background by using different “space” colored gouache and acrylic paints in different areas to suggest that the orbiter is traveling through space. I will usually start with one color, adding it to different areas of the painting before moving on to a new color. This allows for the painting to be balanced with color, forcing your eyes to travel through the painting. Once the background was finished, I worked on laying down color for Psyche and adding details along the way. Painting the orbiter on top of the space background gives a 3D effect, while the eyes on the solar panels and the hopeful message in the stars suggest a more human persona for the spacecraft.",https://psyche.ssl.berkeley.edu/gallery/psyched-to-go-home/,,,,,,
Rachel McNeil,Environmental sustainability management,Transfer,2018-11-11,Acrylic paint,"This piece explores the transfer of information between the asteroid Psyche and the Earth. The mission to Psyche the asteroid could provide us with more information about Earth’s core. Thus, this piece depicts what information scientists have discovered so far about Psyche through the white infographics and pieces of data. The Earth is green and blue and appears to be merging with a ball of orange, red, and black, which represents the information about Earth’s core Psyche could provide. Instead of depicting what Psyche, a metallic asteroid, could possibly look like, I decided to focus on the data transfer about cores by portraying an image of what someone would usually think of when talking about the Earth’s core.",https://psyche.ssl.berkeley.edu/gallery/transfer/,,,,,,
Olivia Ferrel,Public service & public policy,Psyche’s Silhouette,2018-11-19,Embroidery,"At the center of multicolored rays is a silhouette of the Psyche asteroid, which is outlined in black beading. This represents the unknowns of Psyche and its potential, the wonder and hope surrounding the mission, and all the questions we hope to have answered by further research and exploration. (Wooden hoop dimension: 9 inches.)",https://psyche.ssl.berkeley.edu/gallery/psyches-silhouette/,,,,,,
Carissa Tinoco,Molecular environmental biology,Psyche-Delic,2018-11-14,"Adobe Illustrator, Adobe Photoshop","This poster series takes a modern twist on a groovy style and is a play on words of the Psyche Mission. Psyche-delic is both a pun and an adjective to describe the style of art and initial idea I had for this project. Both images consist of concentric shapes radiating from the subject (which is either the Psyche spacecraft or asteroid) and use the colors found in the Psyche mission’s color scheme. As a poster that is meant to be seen, I wanted the images to be as eye-catching and scientifically accurate as possible, so I made sure the colors took up a big part of the posters, the text had a stylistic and striking diagonal to them, and that all the details of both the asteroid and the spacecraft were captured through finely painted strokes.",https://psyche.ssl.berkeley.edu/gallery/psyche-delic-asteroid/,,,,,,
Stacy Woodruff,Public service & public policy,Sun Pendant,2018-11-14,"Dendritic opal, brass wire","I chose to start with the sun because it is at the center of what we are doing on the Psyche mission. We orbit the sun; Psyche orbits the sun; and the sun will power the spacecraft. Without it, we wouldn’t be doing any of this. I created this pendant out of orange dendritic opal and brass wire.",https://psyche.ssl.berkeley.edu/gallery/sun-pendant/,,,,,,
Brenton Chase,Forensic psychology,Soul of the Asteroid Belt,2018-11-13,Digital illustration,"Displayed here is the Psyche asteroid exuding a blue and purple electric aura, alluding to the possibility of it being the core of a planet. When I think of the core of our planet, I think of the magnetic field it generates, and when I picture magnetic attraction in my mind, it is represented by electricity. The title, “Soul of the Asteroid Belt”, alludes to the fact it was named after the Greek goddess of the soul, which is written in metallic letters to represent the metallic make-up of the asteroid.",https://psyche.ssl.berkeley.edu/gallery/soul-of-the-asteroid-belt/,,,,,,
Addison Rizer,English,Psyche: Conversations,2018-11-09,Play,Psyche: Conversations is a set of one-act plays in which we explore Psyche’s capacity to inspire.,https://psyche.ssl.berkeley.edu/gallery/psyche-conversations/,,,,,,
Angela Wroblewski,Astronomy & physics,What Could Have Been,2018-11-06,Acrylic on canvas,"I wanted to highlight the idea that Psyche could have been a core of a planet. This is imagining what could have been and all the life that could have occurred. I think this is a major part of astronomy, imagining all the possibilities in the universe. On one side I made a colorful, crowded planet slice to convey a feeling of liveliness. On the other is Psyche as it is now, empty and without life: 18” X 24”",https://psyche.ssl.berkeley.edu/gallery/what-could-have-been/,,,,,,
Brianna Orrill,Astrobiology and biological sciences (microbiology),Psyche Bloom,2018-07-20,Chalk on canvas,"I wanted to created a bright, flower-like piece to represent all the blooming ideas that have bloomed into success from the minds of the engineers all the way to the artists on the mission. Dimensions: 16″ X 20″",https://psyche.ssl.berkeley.edu/gallery/psyche-bloom/,,,,,,
Anne Norenberg,Digital Culture (Design),Eye of Psyche,2018-07-17,Short film,Looping video created in Adobe After Effects to take the viewer on a journey through the Eye Of Psyche. I used MaxMSP to display projections with help of David Tineapple.,https://psyche.ssl.berkeley.edu/gallery/eye-of-psyche/,,,,,,
John Domenico,Ceramics/Materials Science (Double Major),Crater,2018-07-16,Stoneware,"Given that Psyche is believed to be primarily metallic, I am intrigued by what kind of deformation the surface would undergo when impacted by other objects in space. This piece for me explores what plastic deformation looks like in the context of a crater. To do this I constructed the form of the jar and then covered it in slip (a liquid clay), a very plastic material, and proceeded to impact the surface with various sized objects to create a crater like surface. Dimensions: 23″ x 16″",https://psyche.ssl.berkeley.edu/gallery/crater/,,,,,,
John Domenico,Ceramics/Materials Science (Double Major),Impact,2018-06-27,Ceramic Tiles,"Inspired by the hypothesis that Psyche could be the core of a planetary body that went through a massive collision, this pair of wall hanging slaps captures the tension in the moment immediately before impact of bodies in space.",https://psyche.ssl.berkeley.edu/gallery/impact/,,,,,,
Kari Sanford,Engineering Management,Psyche Limericks,2018-05-14,Limericks,"I wrote a series of limericks. Each poem’s first letter spells out “Psyche.” The limericks alternate in perspective of the asteroid and spacecraft as they chat with each other. Since limericks are short, quirky, and silly in nature, I tried to give each of the Psyche’s that personality through poetic dialogue.",https://psyche.ssl.berkeley.edu/gallery/psyche-limericks/,,,,,,
Jeremy Seidner,Computer science,Atomic Asteroids,2018-05-04,Illustration,"This piece started out as a surrealistic concept, and was later adapted into a cereal box interpretation based on one of the sketches. The Psyche character designed for the children’s book, Psyche’s Journey to a Metal World, was used to cross project platforms. The design displays multiple marketing strategies that the food industry uses to attract shoppers, but also has educational information about the Psyche mission.",https://psyche.ssl.berkeley.edu/gallery/atomic-asteroids/,,,,,,
Brianna Orrill,Astrobiology,Psyche Pour No. 1,2018-05-03,Acrylic Painting,"With this piece I wanted to something unexpected. We really don’t know what Psyche will be like when we get there and it was a similar process with this painting. The acrylic pour just consists of mixing some colors together, pouring it on a canvas and letting the paint run wild. As the paint spreads and dries, new patterns emerge and spread unexpectedly. This gives each painting a unique and otherworldly feeling.",https://psyche.ssl.berkeley.edu/gallery/psyche-pour-no-1/,,,,,,
Morgan Baerwaldt,Electrical Engineering,Psyche to Scale,2018-04-22,Watercolor,"This piece compares the sizes of (16) Psyche to Earth and the Moon. If the Earth were the size of a small grapefruit, Psyche would be the size of a poppy seed. That’s food for thought!",https://psyche.ssl.berkeley.edu/gallery/psyche-to-scale/,,,,,,
Nikka Bacalzo,Graphic Design,"
Psyche Paper Lamp Shade",2018-04-17,Paper and Acrylic Paint,This lamp shade was constructed from 11 ‘flower’ templates that I spray painted then textured with black and three different shades of matte silver acrylic paint. I decided to cut each ‘petal’ irregularly to give more texture that Psyche may have. I cut each ‘petal’ halfway through so all of the templates interlaced with each other and there was no glue necessary.,https://psyche.ssl.berkeley.edu/gallery/psyche-paper-lamp-shade/,,,,,,
Caralie Cedarleaf,Sculpture,Backyard Telescope,2018-04-03,"Cast Iron, Acrylic, LEDs, Copper Wire, Dichroic Film, Aluminum Ducting","Backyard Telescope represents the accessibility of the asteroid (16) Psyche to scientists and non-scientists alike because of the Psyche Mission. Images and information collected during NASA-led missions are made available as part of the public domain, allowing amateur astronomers a chance to learn about space. This diorama returns to a childlike fascination with exploration and learning.

The asteroid in the center is cast in iron, an element in Psyche’s composition. The laser cut Psyche spacecraft orbits the asteroid on a copper wire, referencing Arizona’s role in the mission. The star patterns are designed after sculptures of the goddess Psyche from the era of the asteroid’s discovery. The dichroic film – which was developed in the late 1950s by NASA and the Department of Defense to protect sensitive instruments from cosmic radiation and to shield astronauts’ vision from unfiltered sunlight – represents the decades of great scientists and engineers who have made and continue to make space exploration possible.",https://psyche.ssl.berkeley.edu/gallery/backyard-telescope/,,,,,,
Sofia Garcia,Painting,Psyche Comic,2018-04-02,Digital Illustration,"This work is a fictional story of the development of Psyche. A friendship between a human and a spacecraft, discovering what is beyond the metal world.",https://psyche.ssl.berkeley.edu/gallery/psyche-comic/,,,,,,
Kari Sanford,Engineering Management,Psyche Word Cloud,2018-03-28,Word Cloud,"I wanted to tell the stories of the minds and hearts behind the Psyche Mission. With the team’s help, I approached scientists, engineers, journalists, and students associated with this mission and solicited their feedback. All of the words/phrases in this word cloud are their own. The most frequent, and inspiring, feedback that I saw was, ‘More than me,’ or ‘Bigger than me.’ This mission has helped people look beyond their own skillset and find ways to help others grow. Psyche has created a community through engagement: we are all connected through our pursuit of knowledge in deep space.",https://psyche.ssl.berkeley.edu/gallery/psyche-word-cloud/,,,,,,
Abigail Weibel,Geology,Psyche Inspired Intern Portraits,2018-03-27,Photography,"Headshots of (most of) the inaugural Psyche Inspired interns taken for the Psyche website. (My headshot was taken by Brooke Owen, the Psyche Inspired student manager.)",https://psyche.ssl.berkeley.edu/gallery/psyche-inspired-intern-portraits/,,,,,,
Nikka Bacalzo and Anne Norenberg,Graphic Design (Nikka); Digital Culture (Anne),Psyche Pop-Up Book,2018-03-23,Paper Art and Graphics,"This informative book was a collaboration between Nikka Bacalzo and Annie Norenberg. Annie designed the pages of the book and Nikka elevated the pictures with foam core as well as added the pull-tabs and pop-ups
with cardstock, cut with an X-Acto. The book outlines a little history of Psyche, its instruments, the launch date and the purpose of the mission. Dimensions are ~8″ x 7″.",https://psyche.ssl.berkeley.edu/gallery/psyche-pop-up-book/,,,,,,
